ANO,BIMESTRE,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_FUNCAO,DS_FUNCAO,CD_SUBFUNCAO,DS_SUBFUNCAO,CD_PROGRAMA,DS_PROGRAMA,CD_PROJETO,NM_PROJETO,CD_ELEMENTO,CD_RECURSO,NM_RECURSO,VL_DOTACAO_INICIAL,VL_ATUALIZACAO_MONETARIA,VL_CREDITOS_SUPLEMENTARES,VL_CREDITOS_ESPECIAIS,VL_CREDITOS_EXTRAORDINARIOS,VL_REDUCAO_DOTACAO,VL_SUPLEMENTACAO_RECURSO,VL_REDUCAO_RECURSO,VL_EMPENHADO,VL_LIQUIDADO,VL_PAGO,VL_LIMITADO,VL_RECOMPOSICAO,VL_PREVISAO_EXECUCAO
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.1.90.09,1,Recurso Livre,505.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505.20,505.20,505.20,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.1.90.11,1,Recurso Livre,189741.69,0.00,9872.75,0.00,0.00,8.48,0.00,0.00,199605.96,199605.96,199605.96,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.1.90.16,1,Recurso Livre,5450.00,0.00,0.00,0.00,0.00,302.18,0.00,0.00,5147.82,5147.82,5147.82,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.14,1,Recurso Livre,40000.00,0.00,10134.95,0.00,0.00,262.45,0.00,0.00,49872.50,49872.50,49872.50,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.30,1,Recurso Livre,16500.00,0.00,285.30,0.00,0.00,2932.37,0.00,0.00,13852.93,13852.93,13852.93,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.32,1,Recurso Livre,900.00,0.00,0.00,0.00,0.00,12.92,0.00,0.00,887.08,887.08,887.08,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.33,1,Recurso Livre,4500.00,0.00,5054.00,0.00,0.00,1718.20,0.00,0.00,7835.80,7835.80,7835.80,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.35,1,Recurso Livre,1000.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),3.3.90.39,1,Recurso Livre,36200.00,0.00,9402.11,0.00,0.00,7632.24,0.00,0.00,37969.87,37969.87,37969.87,0.00,0.00,0.00
2008,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,1,CAMARA MUNICIPAL DE VEREADORES,1,CAMARA MUNICIPAL DE VEREADORES,CMM,1,LEGISLATIVA,31,ACAO LEGISLATIVA,1,EXECUCAO DA ACAO LEGISLATIVA,2001,MANUTENCAO DAS ATIVIDADES DA CAMARA MUNIC. DE VEREADORES. ( META 01.01 à 01.05),4.4.90.51,1,Recurso Livre,500.00,0.00,0.00,0.00,0.00,500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
