ANO,MES,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_RECEBIMENTO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_FUNCAO,DS_FUNCAO,CD_SUBFUNCAO,DS_SUBFUNCAO,CD_PROGRAMA,DS_PROGRAMA,CD_PROJETO,NM_PROJETO,CD_ELEMENTO,CD_RECURSO,NM_RECURSO,VL_DOTACAO_INICIAL,VL_ATUALIZACAO_MONETARIA,VL_CREDITOS_SUPLEMENTARES,VL_CREDITOS_ESPECIAIS,VL_CREDITOS_EXTRAORDINARIOS,VL_REDUCAO_DOTACAO,VL_SUPLEMENTACAO_RECURSO,VL_REDUCAO_RECURSO,VL_EMPENHADO,VL_LIQUIDADO,VL_PAGO,VL_LIMITADO,VL_RECOMPOSICAO,VL_PREVISAO_EXECUCAO
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,20,Apoio Administrativo ao Poder Executivo,2008,MANUTENÇÃO DA PROCURADORIA E ASSESSORIA JURIDICA,3.1.90.05,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,2281.96,0.00,160.00,0.00,0.00,0.00,0.00,0.00,2436.88,2436.88,2436.88,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,20,Apoio Administrativo ao Poder Executivo,2008,MANUTENÇÃO DA PROCURADORIA E ASSESSORIA JURIDICA,3.1.90.11,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,152664.10,0.00,0.00,0.00,0.00,10800.00,0.00,0.00,140381.82,140381.82,140381.82,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,20,Apoio Administrativo ao Poder Executivo,2008,MANUTENÇÃO DA PROCURADORIA E ASSESSORIA JURIDICA,3.3.90.14,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,1800.00,0.00,800.00,0.00,0.00,0.00,0.00,0.00,2502.00,2502.00,2502.00,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,20,Apoio Administrativo ao Poder Executivo,2008,MANUTENÇÃO DA PROCURADORIA E ASSESSORIA JURIDICA,3.3.90.30,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,1800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,921.00,921.00,921.00,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,62,Defesa do Interesse Público no Processo Judiciário,20,Apoio Administrativo ao Poder Executivo,2008,MANUTENÇÃO DA PROCURADORIA E ASSESSORIA JURIDICA,3.3.90.39,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,10600.00,0.00,7000.00,0.00,0.00,0.00,0.00,0.00,16524.69,16524.69,16524.69,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,1002,AQUISIÇÃO EQUIPAMENTOS E MATERIAIS PERMANENTES,4.4.90.52,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,3000.00,0.00,64770.00,0.00,0.00,0.00,0.00,0.00,67770.00,66520.00,11520.00,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,9,SECRETARIA MUNICIPAL DE COORDENAÇÃO E PLANEJAMENTO,1,SECRETARIA MUNICIPAL DE COORDENAÇÃO E PLANEJAMENTO,PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,1036,AQUISIÇÃO DE EQUIPAMENTOS - SECRETARIA DE COORDENAÇÃO E PLANEJAMENTO,4.4.90.52,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,2000.00,0.00,106.00,0.00,0.00,0.00,0.00,0.00,2106.00,2106.00,2106.00,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,10,SECRETARIA INDUSTRIA COMERCIO E TURISMO,1,SECRETARIA INDUSTRIA COMERCIO E TURISMO,PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,1038,AQUISIÇÃO DE MATERIAL PERMANENTE - SECRETARIA DA INDUSTRIA E COMERCIO,4.4.90.52,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,1000.00,0.00,0.00,0.00,0.00,106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,8,"SEC DESENVOLVIMENTO RURAL, PESCA E MEIO AMBIENTE",1,"SEC DESENVOLVIMENTO RURAL, PESCA E MEIO AMBIENTE",PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,1043,AQUISIÇÃO DE EQUIPAMENTO - SECRETARIA DA AGRICULTURA,4.4.90.52,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,5000.00,0.00,0.00,0.00,0.00,2100.00,0.00,0.00,2665.00,2665.00,2665.00,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,2005,MANUTENÇÃO DA ASSESSORIA DE IMPRENSA,3.1.90.11,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,22806.16,0.00,500.00,0.00,0.00,0.00,0.00,0.00,23231.57,23231.57,23231.57,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,2005,MANUTENÇÃO DA ASSESSORIA DE IMPRENSA,3.3.90.30,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,5303.00,0.00,0.00,0.00,0.00,700.00,0.00,0.00,1784.00,1784.00,1784.00,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,2005,MANUTENÇÃO DA ASSESSORIA DE IMPRENSA,3.3.90.39,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,56081.27,0.00,1750.00,0.00,0.00,0.00,0.00,0.00,57794.50,57794.50,54314.50,0.00,0.00,0.00
2019,12,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,207262,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Apoio Administrativo ao Poder Executivo,2005,MANUTENÇÃO DA ASSESSORIA DE IMPRENSA,3.3.90.93,1,MAPA Convenio nº 850531/2017 - Contrato Reforma 1044033-71/2017,1800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1650.00,1650.00,1650.00,0.00,0.00,0.00
