ANO,BIMESTRE,COD_MUNICIPIO,NOME_MUNICIPIO,CD_ORGAO,NOME_ORGAO,CD_RECEBIMENTO,CD_ORGAO_ORCAMENTARIO,NOME_ORGAO_ORCAMENTARIO,CD_UNIDADE_ORCAMENTARIA,NOME_UNIDADE,TP_UNIDADE,CD_FUNCAO,DS_FUNCAO,CD_SUBFUNCAO,DS_SUBFUNCAO,CD_PROGRAMA,DS_PROGRAMA,CD_PROJETO,NM_PROJETO,CD_ELEMENTO,CD_RECURSO,NM_RECURSO,VL_DOTACAO_INICIAL,VL_ATUALIZACAO_MONETARIA,VL_CREDITOS_SUPLEMENTARES,VL_CREDITOS_ESPECIAIS,VL_CREDITOS_EXTRAORDINARIOS,VL_REDUCAO_DOTACAO,VL_SUPLEMENTACAO_RECURSO,VL_REDUCAO_RECURSO,VL_EMPENHADO,VL_LIQUIDADO,VL_PAGO,VL_LIMITADO,VL_RECOMPOSICAO,VL_PREVISAO_EXECUCAO
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,1002,AQUISIÇÃO DE EQUIPAMENTO (META 02.06),4.4.90.52,1,LIVRE,4500.00,0.00,0.00,0.00,0.00,4500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2005,DIVULGAÇÃO DOS ATOS OFICIAIS (META 02.02),3.3.90.39,1,LIVRE,15000.00,0.00,0.00,0.00,0.00,6000.00,0.00,0.00,8500.00,8500.00,8500.00,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.1.90.05,1,LIVRE,300.00,0.00,2083.32,0.00,0.00,0.00,0.00,0.00,2382.90,2382.90,2382.90,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.1.90.11,1,LIVRE,412589.59,0.00,18000.00,0.00,0.00,23000.00,0.00,0.00,407429.31,407429.31,407429.31,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.3.90.14,1,LIVRE,20000.00,0.00,0.00,0.00,0.00,2860.00,0.00,0.00,16657.50,16657.50,16657.50,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.3.90.30,1,LIVRE,18387.51,0.00,0.00,0.00,0.00,13600.00,0.00,0.00,4771.18,4771.18,4771.18,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.3.90.33,1,LIVRE,3000.00,0.00,2000.00,0.00,0.00,1184.00,0.00,0.00,2983.27,2983.27,2983.27,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.3.90.36,1,LIVRE,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.50,19.50,19.50,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.3.90.39,1,LIVRE,20600.00,0.00,0.00,0.00,0.00,1796.20,0.00,0.00,15675.78,15675.78,15675.78,0.00,0.00,0.00
2015,6,59,CRISSIUMAL,45900,PM DE CRISSIUMAL,139320,2,GABINETE DO PREFEIT0,1,GABINETE DO PREFEITO,PRM,4,Administração,122,Administração Geral,20,Manutencao das Atividades do Gabinete do Prefeito,2006,MANUTENÇÃO DAS ATIVIDADES DO GABINETE E ORGAOS INTERLIGADOS (META 02.01 E 02.02),3.3.90.47,1,LIVRE,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,4.00,0.00,0.00,0.00
